order_detail_id,order_id,product_id,quantity,price_at_purchase
1001,CA-2019-116526,FUR-CH-10001708,34,139.5702
1002,CA-2018-161627,OFF-SU-10001935,30,-1.744
1003,CA-2020-158407,TEC-AC-10004396,47,-6.534
1004,CA-2018-137113,TEC-AC-10002600,1,-18.585
1005,CA-2017-114195,TEC-PH-10000004,7,0.8994
1006,CA-2018-135538,OFF-AR-10003986,33,3.157
1007,CA-2020-151484,FUR-FU-10003347,36,11.076
1008,CA-2017-166457,OFF-AR-10003056,2,2.4824
1009,CA-2018-149811,FUR-FU-10003708,6,1.213
1010,US-2018-163783,TEC-AC-10003657,34,1.3596
1011,US-2019-126452,OFF-BI-10002072,47,8.69
1012,CA-2020-113418,OFF-AR-10003156,41,7.9248
1013,CA-2020-107209,OFF-ST-10002486,40,1.6752
1014,CA-2020-135279,OFF-PA-10001281,31,91.968
1015,CA-2017-124737,OFF-LA-10003720,30,1.7343
1016,CA-2020-123085,OFF-BI-10000136,15,17.2224
1017,CA-2019-129630,OFF-PA-10002001,26,6.3504
1018,CA-2019-130001,OFF-ST-10003470,45,55.896
1019,US-2020-120607,OFF-BI-10000301,34,16.175
1020,CA-2020-110884,TEC-PH-10002293,37,-11.994
1021,CA-2017-168130,FUR-CH-10001394,10,0
1022,CA-2018-121391,OFF-BI-10001107,18,27.3672
1023,CA-2019-125738,OFF-EN-10002973,27,12.9024
1024,CA-2020-168123,OFF-PA-10000726,35,4.0995
1025,CA-2020-117128,OFF-BI-10001658,7,-11.9616
1026,CA-2018-167255,TEC-PH-10001949,50,16.011
1027,US-2020-125717,FUR-BO-10002613,5,112.392
1028,CA-2018-168459,OFF-FA-10000053,12,0.189
1029,CA-2019-132829,OFF-AR-10004027,25,1.5876
1030,CA-2018-161263,FUR-BO-10001619,45,18.6956
1031,CA-2019-147536,OFF-EN-10001335,18,19.692
1032,US-2019-111528,OFF-EN-10002600,37,1.652
1033,CA-2020-103415,OFF-AR-10003582,17,15.764
1034,CA-2020-163566,OFF-PA-10001950,19,26.271
1035,CA-2017-160773,OFF-FA-10001229,20,3.6156
1036,CA-2019-155138,OFF-SU-10004498,25,1.5456
1037,CA-2017-125514,FUR-BO-10001601,30,10.4784
