order_id,customer_id,order_date,shipping_status
CA-2019-152156,84,11/11/2019,Awaiting Delivery
CA-2019-152156,31,11/11/2019,Delivered
CA-2019-138688,73,6/16/2019,processing
US-2018-108966,202,10/18/2018,Shipped
US-2018-108966,622,10/18/2018,Awaiting Delivery
CA-2017-115812,237,6/14/2017,In Transit
CA-2017-115812,137,6/14/2017,Returned
CA-2017-115812,248,6/14/2017,Awaiting Delivery
CA-2017-115812,74,6/14/2017,Delivered
CA-2017-115812,409,6/14/2017,awaiting shipment
CA-2017-115812,663,6/14/2017,Shipped
CA-2017-115812,677,6/14/2017,order placed
CA-2020-114412,109,4/20/2020,Cancelled
CA-2019-161389,73,12/10/2019,Delayed/On-hold
US-2018-118983,593,11/26/2018,Cancelled
US-2018-118983,102,11/26/2018,In Transit
CA-2017-105893,679,11/18/2017,Shipped
CA-2017-167164,303,5/15/2017,Cancelled
CA-2017-143336,361,9/1/2017,order placed
CA-2017-143336,252,9/1/2017,awaiting shipment
CA-2017-143336,20,9/1/2017,Delivered
CA-2019-137330,363,12/13/2019,Lost
CA-2019-137330,518,12/13/2019,Cancelled
US-2020-156909,608,7/18/2020,Delivered
CA-2018-106320,769,9/30/2018,In Transit
CA-2019-121755,539,1/20/2019,order placed
CA-2019-121755,446,1/20/2019,Lost
US-2018-150630,507,9/21/2018,Cancelled
US-2018-150630,512,9/21/2018,Cancelled
US-2018-150630,708,9/21/2018,Delayed/On-hold
US-2018-150630,577,9/21/2018,Awaiting Delivery
US-2018-150630,315,9/21/2018,Awaiting Delivery
US-2018-150630,82,9/21/2018,Cancelled
US-2018-150630,418,9/21/2018,awaiting shipment
CA-2020-107727,228,10/23/2020,Awaiting Delivery
CA-2019-117590,261,12/10/2019,Cancelled
CA-2019-117590,401,12/10/2019,Scheduled Delivery
CA-2018-117415,235,12/31/2018,Lost
CA-2018-117415,316,12/31/2018,Returned
CA-2018-117415,59,12/31/2018,Scheduled Delivery
CA-2018-117415,255,12/31/2018,Shipped
CA-2020-120999,581,9/15/2020,Lost
CA-2019-101343,420,7/22/2019,order placed
CA-2020-139619,693,9/23/2020,Returned
CA-2019-118255,82,3/13/2019,Failed Delivery
CA-2019-118255,193,3/13/2019,Cancelled
CA-2017-146703,787,10/25/2017,Out for Delivery
CA-2019-169194,668,6/25/2019,Shipped
CA-2019-169194,300,6/25/2019,Cancelled
CA-2018-115742,426,4/22/2018,Out for Delivery
CA-2018-115742,82,4/22/2018,Cancelled
CA-2018-115742,260,4/22/2018,Delivered
CA-2018-115742,398,4/22/2018,Shipped
CA-2019-105816,552,12/17/2019,Returned
CA-2019-105816,768,12/17/2019,Awaiting Delivery
CA-2019-111682,358,6/18/2019,Scheduled Delivery
CA-2019-111682,120,6/18/2019,Delivered
CA-2019-111682,298,6/18/2019,Awaiting Delivery
CA-2019-111682,590,6/18/2019,awaiting shipment
CA-2019-111682,673,6/18/2019,order placed
CA-2019-111682,656,6/18/2019,Lost
CA-2019-111682,419,6/18/2019,Failed Delivery
CA-2018-135545,695,11/30/2018,awaiting shipment
CA-2018-135545,420,11/30/2018,Cancelled
CA-2018-135545,199,11/30/2018,Delivered
CA-2018-135545,455,11/30/2018,Lost
US-2018-164175,669,5/5/2018,awaiting shipment
CA-2017-106376,179,12/10/2017,awaiting shipment
CA-2017-106376,639,12/10/2017,Delayed/On-hold
CA-2019-119823,87,6/6/2019,Cancelled
CA-2019-106075,775,9/23/2019,Shipped
CA-2020-114440,684,9/17/2020,Failed Delivery
US-2018-134026,33,5/2/2018,Delivered
US-2018-134026,450,5/2/2018,Awaiting Delivery
US-2018-134026,510,5/2/2018,Delivered
US-2020-118038,787,12/11/2020,order placed
US-2020-118038,166,12/11/2020,awaiting shipment
US-2020-118038,160,12/11/2020,Shipped
US-2017-147606,575,12/1/2017,Scheduled Delivery
CA-2019-127208,526,6/15/2019,Shipped
CA-2019-127208,104,6/15/2019,awaiting shipment
CA-2017-139451,48,10/16/2017,Delivered
CA-2017-139451,628,10/16/2017,Delayed/On-hold
CA-2018-149734,501,9/8/2018,Delivered
US-2020-119662,159,11/16/2020,In Transit
CA-2020-140088,693,5/30/2020,Failed Delivery
CA-2020-155558,722,11/2/2020,order placed
CA-2020-155558,490,11/2/2020,Shipped
CA-2019-159695,245,4/10/2019,Lost
CA-2019-109806,53,9/22/2019,awaiting shipment
CA-2019-109806,272,9/22/2019,Scheduled Delivery
CA-2019-109806,612,9/22/2019,awaiting shipment
CA-2018-149587,526,2/5/2018,Delayed/On-hold
CA-2018-149587,397,2/5/2018,Shipped
CA-2018-149587,487,2/5/2018,awaiting shipment
US-2020-109484,414,11/12/2020,awaiting shipment
CA-2020-161018,64,11/11/2020,In Transit
CA-2020-157833,200,6/20/2020,Delayed/On-hold
CA-2019-149223,318,9/11/2019,awaiting shipment
CA-2019-158568,786,9/2/2019,Failed Delivery
CA-2019-158568,64,9/2/2019,processing
CA-2019-158568,602,9/2/2019,awaiting shipment
CA-2019-129903,361,12/4/2019,Shipped
US-2018-156867,169,11/17/2018,Failed Delivery
US-2018-156867,747,11/17/2018,Delivered
US-2018-156867,4,11/17/2018,awaiting shipment
CA-2020-119004,499,11/28/2020,processing
CA-2020-119004,64,11/28/2020,order placed
CA-2020-119004,649,11/28/2020,Failed Delivery
CA-2018-129476,130,10/20/2018,Shipped
CA-2020-146780,791,12/30/2020,Shipped
CA-2019-128867,428,11/10/2019,Shipped
CA-2019-128867,628,11/10/2019,Delayed/On-hold
CA-2017-115259,704,8/27/2017,Delivered
CA-2017-115259,57,8/27/2017,order placed
CA-2017-115259,331,8/27/2017,In Transit
CA-2017-115259,436,8/27/2017,awaiting shipment
CA-2018-110457,652,3/6/2018,In Transit
US-2018-136476,228,4/10/2018,In Transit
CA-2019-103730,690,6/15/2019,Out for Delivery
CA-2019-103730,328,6/15/2019,Awaiting Delivery
CA-2019-103730,763,6/15/2019,Awaiting Delivery
CA-2019-103730,442,6/15/2019,order placed
CA-2019-103730,265,6/15/2019,In Transit
US-2017-152030,72,12/28/2017,awaiting shipment
US-2017-134614,480,9/25/2017,Awaiting Delivery
US-2020-107272,149,11/12/2020,processing
US-2020-107272,67,11/12/2020,Awaiting Delivery
US-2019-125969,58,11/10/2019,In Transit
US-2019-125969,135,11/10/2019,Scheduled Delivery
US-2020-164147,153,2/5/2020,order placed
US-2020-164147,374,2/5/2020,Awaiting Delivery
US-2020-164147,773,2/5/2020,Delayed/On-hold
CA-2019-145583,634,10/19/2019,processing
CA-2019-145583,167,10/19/2019,In Transit
CA-2019-145583,143,10/19/2019,In Transit
CA-2019-145583,305,10/19/2019,Awaiting Delivery
CA-2019-145583,329,10/19/2019,Out for Delivery
CA-2019-145583,465,10/19/2019,Awaiting Delivery
CA-2019-145583,555,10/19/2019,Shipped
CA-2019-110366,176,9/7/2019,Awaiting Delivery
CA-2020-106180,240,9/23/2020,Awaiting Delivery
CA-2020-106180,437,9/23/2020,Cancelled
CA-2020-106180,95,9/23/2020,Returned
CA-2020-155376,315,12/27/2020,Awaiting Delivery
CA-2018-110744,150,9/12/2018,processing
CA-2017-110072,337,10/28/2017,Returned
CA-2019-114489,108,12/9/2019,Returned
CA-2019-114489,176,12/9/2019,Delivered
CA-2019-114489,736,12/9/2019,Shipped
CA-2019-114489,335,12/9/2019,Delayed/On-hold
CA-2019-158834,503,3/16/2019,Cancelled
CA-2019-158834,712,3/16/2019,Delayed/On-hold
CA-2018-124919,135,6/2/2018,In Transit
CA-2018-124919,234,6/2/2018,Cancelled
CA-2018-124919,422,6/2/2018,In Transit
CA-2018-118948,87,6/3/2018,Shipped
CA-2017-104269,5,3/6/2017,processing
CA-2019-114104,652,11/24/2019,In Transit
CA-2019-114104,150,11/24/2019,awaiting shipment
CA-2019-162733,21,5/12/2019,Returned
CA-2018-119697,785,12/31/2018,Scheduled Delivery
CA-2019-154508,785,11/20/2019,Lost
CA-2019-113817,638,11/11/2019,In Transit
CA-2017-139892,313,9/12/2017,Cancelled
CA-2017-139892,315,9/12/2017,Scheduled Delivery
CA-2017-139892,168,9/12/2017,Shipped
CA-2017-139892,410,9/12/2017,processing
CA-2017-139892,519,9/12/2017,Delivered
CA-2017-139892,172,9/12/2017,Lost
CA-2017-139892,531,9/12/2017,Shipped
